#: table_doi: 10.17182/hepdata.71527.v2/t249
#: name: Table 245
#: description: No description provided.
#: data_file: Table245.yaml
#: keyword reactions: AU AU --> LAMBDABAR X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 19.6
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> LAMBDABAR X
#: SQRT(S)/NUCLEON [GeV],19.6
PT [GEV],v2,stat +,stat -,sys +,sys -
0.4905,0.033742,0.013574,-0.013574,0.002556,-0.003868
0.7055,0.027485,0.009421,-0.009421,0.00359,-0.003457
0.9055,0.047466,0.008587,-0.008587,0.002567,-0.00258
1.1055,0.080693,0.009133,-0.009133,0.002271,-0.002758
1.2955,0.115934,0.010707,-0.010707,0.002315,-0.002634
1.5045,0.139583,0.013322,-0.013322,0.001866,-0.002291
1.7055,0.168048,0.016987,-0.016987,0.005761,-0.00542
1.9745,0.184265,0.018477,-0.018477,0.005142,-0.004975
2.4145,0.254012,0.033066,-0.033066,0.011294,-0.011568

