#: table_doi: 10.17182/hepdata.71527.v2/t171
#: name: Table 167
#: description: No description provided.
#: data_file: Table167.yaml
#: keyword reactions: AU AU --> K- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> K- X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.013661,0.000454,-0.000454,3e-06,-6e-06
0.495,0.030916,0.000293,-0.000293,4.9e-05,-2.6e-05
0.705,0.05138,0.000301,-0.000301,1.9e-05,-3.8e-05
0.885,0.071017,0.000361,-0.000361,8.4e-05,-5.3e-05
1.095,0.089226,0.000463,-0.000463,3.4e-05,-2e-05
1.275,0.10274,0.000607,-0.000607,0.000148,-7.5e-05
1.485,0.116668,0.000813,-0.000813,2.4e-05,-3.9e-05
1.695,0.126808,0.001123,-0.001123,1.7e-05,-1e-05
1.875,0.133538,0.001582,-0.001582,8.6e-05,-8.5e-05
2.085,0.140852,0.002268,-0.002268,0.000365,-0.000374
2.355,0.146276,0.002675,-0.002675,0.000305,-0.000303
2.805,0.146791,0.005498,-0.005498,0.00193,-0.002082
3.465,0.184954,0.013982,-0.013982,0.010612,-0.015508

