#: table_doi: 10.17182/hepdata.71527.v2/t391
#: name: Table 387
#: description: No description provided.
#: data_file: Table387.yaml
#: keyword reactions: AU AU --> P X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> P X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.007943,0.000854,-0.000854,0.000454,-0.001331
0.495,0.01481,0.000294,-0.000294,0.000474,-0.001188
0.705,0.030062,0.000239,-0.000239,0.000611,-0.001401
0.885,0.049561,0.000237,-0.000237,0.000593,-0.001309
1.095,0.071512,0.00026,-0.00026,0.000455,-0.000989
1.275,0.092611,0.000304,-0.000304,0.000376,-0.000808
1.485,0.11189,0.000371,-0.000371,0.000268,-0.000571
1.695,0.128296,0.000474,-0.000474,0.000201,-0.000348
1.875,0.142043,0.000634,-0.000634,0.000277,-0.00057
2.085,0.155769,0.000757,-0.000757,0.0002,-9.6e-05
2.295,0.164837,0.00101,-0.00101,0.000401,-0.000219
2.475,0.172717,0.001423,-0.001423,0.000405,-0.000242
2.685,0.180302,0.002063,-0.002063,0.001212,-0.000981
2.955,0.191175,0.002393,-0.002393,0.000703,-0.000816
3.345,0.184715,0.004624,-0.004624,0.000651,-0.001134

