#: table_doi: 10.17182/hepdata.71527.v2/t126
#: name: Table 122
#: description: No description provided.
#: data_file: Table122.yaml
#: keyword reactions: AU AU --> PBAR X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 11.5
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> PBAR X
#: SQRT(S)/NUCLEON [GeV],11.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,-0.007977,0.00916,-0.00916,0.003101,-0.009364
0.495,-0.002644,0.003813,-0.003813,0.00062,-0.00144
0.705,0.015879,0.003254,-0.003254,0.000564,-0.001156
0.885,0.030892,0.003437,-0.003437,0.000457,-0.000543
1.095,0.046594,0.004086,-0.004086,0.002039,-0.002197
1.365,0.081903,0.0042,-0.0042,0.000955,-0.000524
1.755,0.101881,0.007044,-0.007044,0.001516,-0.002929
2.205,0.145431,0.012926,-0.012926,0.000348,-0.000629

