#: table_doi: 10.17182/hepdata.71527.v2/t326
#: name: Table 322
#: description: No description provided.
#: data_file: Table322.yaml
#: keyword reactions: AU AU --> K+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 11.5
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> K+ X
#: SQRT(S)/NUCLEON [GeV],11.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.013881,0.001233,-0.001233,4.3e-05,-2.1e-05
0.495,0.028443,0.000793,-0.000793,6.5e-05,-3.7e-05
0.705,0.042206,0.000821,-0.000821,0.000142,-8.8e-05
0.885,0.055034,0.000996,-0.000996,0.00012,-7.7e-05
1.095,0.067682,0.001302,-0.001302,8.9e-05,-4.4e-05
1.275,0.077815,0.001746,-0.001746,2.8e-05,-1.4e-05
1.485,0.087108,0.002423,-0.002423,0.00017,-0.000207
1.665,0.087763,0.003437,-0.003437,7.9e-05,-3.6e-05
1.965,0.085647,0.004067,-0.004067,0.000852,-0.000871
2.325,0.08438,0.010179,-0.010179,0.003642,-0.004604
2.775,0.044053,0.033157,-0.033157,0.006202,-0.007863

