#: table_doi: 10.17182/hepdata.71527.v2/t262
#: name: Table 258
#: description: No description provided.
#: data_file: Table258.yaml
#: keyword reactions: AU AU --> LAMBDA X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> LAMBDA X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.4925,0.027239,0.004451,-0.004451,0.001009,-0.001141
0.7055,0.049764,0.002949,-0.002949,0.000556,-0.000982
0.9055,0.07834,0.002594,-0.002594,0.00078,-0.000437
1.1045,0.109934,0.002661,-0.002661,0.000505,-0.000543
1.2955,0.134123,0.003022,-0.003022,0.000746,-0.000509
1.5055,0.164595,0.003629,-0.003629,0.000732,-0.000581
1.7055,0.187119,0.004492,-0.004492,0.001949,-0.002017
1.9055,0.203662,0.005746,-0.005746,0.000931,-0.000888
2.1055,0.223241,0.007583,-0.007583,0.002228,-0.002119
2.3045,0.231415,0.010112,-0.010112,0.002292,-0.002035
2.5745,0.253292,0.011043,-0.011043,0.001954,-0.003094
3.1365,0.268458,0.017644,-0.017644,0.010524,-0.01145

