#: table_doi: 10.17182/hepdata.71527.v2/t73
#: name: Table 69
#: description: No description provided.
#: data_file: Table69.yaml
#: keyword reactions: AU AU --> K- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> K- X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.005429,0.000862,-0.000862,4e-06,-2e-06
0.495,0.014238,0.000546,-0.000546,3.1e-05,-1.6e-05
0.705,0.025175,0.00055,-0.00055,0.000118,-6.9e-05
0.885,0.033532,0.000653,-0.000653,6.1e-05,-4.4e-05
1.095,0.044192,0.000829,-0.000829,1.1e-05,-1.2e-05
1.275,0.049016,0.001083,-0.001083,8e-06,-5e-06
1.575,0.055973,0.001172,-0.001172,3.1e-05,-2.2e-05
1.965,0.066154,0.002197,-0.002197,0.00015,-0.000155
2.355,0.061912,0.004865,-0.004865,0.0004,-0.000499
2.805,0.066463,0.009755,-0.009755,0.001653,-0.001825

