#: table_doi: 10.17182/hepdata.71527.v2/t128
#: name: Table 124
#: description: No description provided.
#: data_file: Table124.yaml
#: keyword reactions: AU AU --> PI+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 11.5
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> PI+ X
#: SQRT(S)/NUCLEON [GeV],11.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.023457,0.000223,-0.000223,0.0,-0.0
0.495,0.043922,0.00028,-0.00028,3.5e-05,-1.7e-05
0.675,0.062163,0.000394,-0.000394,0.000181,-9.3e-05
0.885,0.078478,0.000575,-0.000575,1e-06,-1e-06
1.065,0.091809,0.000848,-0.000848,8.8e-05,-0.000173
1.275,0.103063,0.001247,-0.001247,6e-06,-3e-06
1.485,0.110708,0.001849,-0.001849,6e-06,-1.2e-05
1.665,0.120155,0.002765,-0.002765,7.8e-05,-0.000168
1.935,0.125528,0.003413,-0.003413,0.000504,-0.000281
2.355,0.127156,0.006978,-0.006978,0.000479,-0.000453

