#: table_doi: 10.17182/hepdata.71527.v2/t88
#: name: Table 84
#: description: No description provided.
#: data_file: Table84.yaml
#: keyword reactions: AU AU --> K+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 39.0
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> K+ X
#: SQRT(S)/NUCLEON [GeV],39.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.005558,0.000484,-0.000484,3.9e-05,-2e-05
0.495,0.013594,0.000299,-0.000299,9.3e-05,-4.8e-05
0.705,0.025733,0.000295,-0.000295,9.5e-05,-7e-05
0.885,0.036414,0.000341,-0.000341,7.9e-05,-4.4e-05
1.095,0.045515,0.000423,-0.000423,2.1e-05,-4.1e-05
1.275,0.05262,0.000546,-0.000546,2.9e-05,-1.7e-05
1.485,0.057483,0.000725,-0.000725,3.9e-05,-3.8e-05
1.695,0.060921,0.000981,-0.000981,0.000421,-0.000189
1.875,0.064497,0.001347,-0.001347,0.0002,-0.000212
2.085,0.068855,0.001911,-0.001911,0.000658,-0.00067
2.355,0.070296,0.002362,-0.002362,0.001866,-0.001825
2.805,0.061971,0.005231,-0.005231,0.001427,-0.001396
3.435,0.034582,0.018528,-0.018528,0.003112,-0.00338

