#: table_doi: 10.17182/hepdata.71527.v2/t325
#: name: Table 321
#: description: No description provided.
#: data_file: Table321.yaml
#: keyword reactions: AU AU --> K- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 11.5
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> K- X
#: SQRT(S)/NUCLEON [GeV],11.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.01132,0.001724,-0.001724,2.3e-05,-1.2e-05
0.495,0.025042,0.001141,-0.001141,4e-06,-2e-06
0.705,0.039624,0.001205,-0.001205,2.2e-05,-4.2e-05
0.885,0.055106,0.001491,-0.001491,5.6e-05,-9.9e-05
1.095,0.067439,0.001986,-0.001986,7.3e-05,-0.000145
1.275,0.078338,0.002692,-0.002692,2.7e-05,-4.4e-05
1.485,0.089815,0.003799,-0.003799,3.9e-05,-7.3e-05
1.665,0.093321,0.005576,-0.005576,6.8e-05,-4.3e-05
1.935,0.097588,0.007044,-0.007044,0.000288,-0.000368
2.325,0.089941,0.017615,-0.017615,0.004015,-0.004202
2.775,0.104651,0.040834,-0.040834,0.006279,-0.006011

