#: table_doi: 10.17182/hepdata.71527.v2/t129
#: name: Table 125
#: description: No description provided.
#: data_file: Table125.yaml
#: keyword reactions: AU AU --> K- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 11.5
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> K- X
#: SQRT(S)/NUCLEON [GeV],11.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.013153,0.001727,-0.001727,3.4e-05,-1.7e-05
0.495,0.028325,0.001149,-0.001149,1.8e-05,-1.1e-05
0.705,0.04396,0.001219,-0.001219,3.6e-05,-6.9e-05
0.885,0.064039,0.001513,-0.001513,1.5e-05,-9e-06
1.095,0.079496,0.002016,-0.002016,4.4e-05,-8.9e-05
1.275,0.092137,0.002741,-0.002741,8.1e-05,-8.2e-05
1.485,0.107982,0.003873,-0.003873,4.2e-05,-4.5e-05
1.665,0.113846,0.005705,-0.005705,0.000303,-0.00033
1.935,0.121806,0.007183,-0.007183,0.001024,-0.000907
2.325,0.142012,0.019277,-0.019277,0.002318,-0.001761

