#: table_doi: 10.17182/hepdata.71527.v2/t350
#: name: Table 346
#: description: No description provided.
#: data_file: Table346.yaml
#: keyword reactions: AU AU --> PBAR X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 19.6
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> PBAR X
#: SQRT(S)/NUCLEON [GeV],19.6
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.00297,0.002809,-0.002809,0.000347,-0.001064
0.495,0.007387,0.001171,-0.001171,0.000163,-0.00041
0.705,0.022165,0.000988,-0.000988,0.000377,-0.000882
0.885,0.038598,0.001015,-0.001015,0.000614,-0.001348
1.095,0.059185,0.00117,-0.00117,0.000494,-0.001072
1.275,0.074907,0.00145,-0.00145,0.000667,-0.001462
1.485,0.091946,0.00188,-0.00188,0.000698,-0.000396
1.695,0.106479,0.002563,-0.002563,0.000502,-0.000303
1.875,0.116709,0.003122,-0.003122,0.000417,-0.000717
2.085,0.12735,0.004311,-0.004311,0.000977,-0.000582
2.265,0.134329,0.005952,-0.005952,0.000413,-0.000739
2.475,0.14933,0.008594,-0.008594,0.00137,-0.000753
2.835,0.149541,0.010393,-0.010393,0.001709,-0.001017

