#: table_doi: 10.17182/hepdata.71527.v2/t364
#: name: Table 360
#: description: No description provided.
#: data_file: Table360.yaml
#: keyword reactions: AU AU --> PBAR X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> PBAR X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.000415,0.001507,-0.001507,0.000649,-0.000393
0.495,0.009887,0.000638,-0.000638,0.000608,-0.001563
0.705,0.024108,0.000539,-0.000539,0.000386,-0.000918
0.885,0.041457,0.00055,-0.00055,0.000441,-0.001004
1.095,0.062885,0.000622,-0.000622,0.000444,-0.000994
1.275,0.081161,0.000754,-0.000754,0.000407,-0.000901
1.485,0.098516,0.000951,-0.000951,4.5e-05,-9.4e-05
1.695,0.11376,0.001248,-0.001248,7.1e-05,-0.000155
1.875,0.125846,0.001536,-0.001536,0.000115,-6e-05
2.085,0.138131,0.002069,-0.002069,0.001068,-0.000497
2.295,0.145702,0.002802,-0.002802,0.000686,-0.00032
2.475,0.153858,0.003911,-0.003911,0.000184,-0.000393
2.685,0.159991,0.005556,-0.005556,0.001487,-0.000696
2.955,0.162908,0.006484,-0.006484,0.000205,-0.000263
3.435,0.169893,0.012514,-0.012514,0.00495,-0.002286

