#: table_doi: 10.17182/hepdata.71527.v2/t367
#: name: Table 363
#: description: No description provided.
#: data_file: Table363.yaml
#: keyword reactions: AU AU --> K- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> K- X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.012537,0.000437,-0.000437,3e-06,-2e-06
0.495,0.026693,0.000281,-0.000281,2.5e-05,-1.5e-05
0.705,0.044647,0.000287,-0.000287,6.4e-05,-4.4e-05
0.885,0.060832,0.000344,-0.000344,4.4e-05,-3.2e-05
1.095,0.076236,0.000441,-0.000441,1.6e-05,-1e-05
1.275,0.087412,0.000578,-0.000578,2.2e-05,-1.2e-05
1.485,0.098923,0.000775,-0.000775,2.5e-05,-3.5e-05
1.695,0.105773,0.00107,-0.00107,3.3e-05,-2.8e-05
1.875,0.114272,0.001514,-0.001514,3.6e-05,-4.8e-05
2.085,0.119576,0.002182,-0.002182,0.000254,-0.000263
2.265,0.123284,0.003172,-0.003172,0.000116,-0.000128
2.475,0.127067,0.004651,-0.004651,0.000619,-0.000625
2.805,0.124691,0.005258,-0.005258,0.001459,-0.001539
3.435,0.125902,0.014521,-0.014521,0.003544,-0.003659

