#: table_doi: 10.17182/hepdata.71527.v2/t270
#: name: Table 266
#: description: No description provided.
#: data_file: Table266.yaml
#: keyword reactions: AU AU --> K+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> K+ X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.025012,0.001322,-0.001322,6e-06,-1e-05
0.495,0.044176,0.000886,-0.000886,9e-06,-5e-06
0.705,0.071179,0.000938,-0.000938,1.4e-05,-1.9e-05
0.885,0.093009,0.001152,-0.001152,5.5e-05,-4.3e-05
1.095,0.114819,0.001499,-0.001499,6.5e-05,-3.9e-05
1.275,0.129191,0.001978,-0.001978,2.9e-05,-1.4e-05
1.485,0.15154,0.002657,-0.002657,0.000108,-9.5e-05
1.695,0.159513,0.003646,-0.003646,0.000156,-0.000206
1.965,0.174123,0.004094,-0.004094,0.00023,-0.000299
2.355,0.17201,0.00832,-0.00832,0.001191,-0.001133
2.805,0.227863,0.017009,-0.017009,0.005305,-0.00621

