#: table_doi: 10.17182/hepdata.71527.v2/t165
#: name: Table 161
#: description: No description provided.
#: data_file: Table161.yaml
#: keyword reactions: AU AU --> LAMBDABAR X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> LAMBDABAR X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.3055,-0.003352,0.011451,-0.011451,0.005229,-0.004892
0.5055,0.008835,0.003021,-0.003021,0.000678,-0.000506
0.7055,0.021898,0.001796,-0.001796,0.00028,-0.000709
0.9055,0.041434,0.001482,-0.001482,0.000445,-0.000623
1.1055,0.064463,0.00144,-0.00144,0.000348,-0.000761
1.2955,0.084704,0.001556,-0.001556,0.000489,-0.000388
1.5055,0.102251,0.001793,-0.001793,0.000446,-0.000525
1.7055,0.12041,0.002175,-0.002175,0.000816,-0.001359
1.9055,0.135303,0.002731,-0.002731,0.000762,-0.000478
2.1055,0.148781,0.003542,-0.003542,0.001118,-0.000953
2.3055,0.152179,0.004692,-0.004692,0.001367,-0.000978
2.5055,0.169181,0.006381,-0.006381,0.001733,-0.001352
2.7055,0.182813,0.008714,-0.008714,0.003603,-0.003514
3.0055,0.184811,0.009685,-0.009685,0.00377,-0.003671
3.5135,0.208751,0.016443,-0.016443,0.006129,-0.006415

