#: table_doi: 10.17182/hepdata.71527.v2/t365
#: name: Table 361
#: description: No description provided.
#: data_file: Table361.yaml
#: keyword reactions: AU AU --> PI- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> PI- X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.021863,6.3e-05,-6.3e-05,0.0,-0.0
0.495,0.041449,7.6e-05,-7.6e-05,7.2e-05,-3.6e-05
0.675,0.060415,0.000105,-0.000105,5.6e-05,-2.8e-05
0.885,0.077314,0.00015,-0.00015,4e-06,-8e-06
1.065,0.091085,0.000216,-0.000216,4.2e-05,-8.4e-05
1.275,0.1024,0.000307,-0.000307,1.2e-05,-2.3e-05
1.485,0.11233,0.000436,-0.000436,3e-06,-6e-06
1.665,0.119006,0.000621,-0.000621,5e-06,-6e-06
1.875,0.124619,0.000881,-0.000881,1.3e-05,-7e-06
2.085,0.132218,0.001225,-0.001225,2.6e-05,-1.5e-05
2.295,0.131911,0.00169,-0.00169,2.5e-05,-2.6e-05
2.475,0.140354,0.002308,-0.002308,4.7e-05,-6.2e-05
2.805,0.138048,0.002145,-0.002145,0.000293,-0.0003
3.465,0.143187,0.005525,-0.005525,0.001085,-0.001156

