#: table_doi: 10.17182/hepdata.71527.v2/t254
#: name: Table 250
#: description: No description provided.
#: data_file: Table250.yaml
#: keyword reactions: AU AU --> PI+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 19.6
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> PI+ X
#: SQRT(S)/NUCLEON [GeV],19.6
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.027408,0.000371,-0.000371,0.000172,-8.6e-05
0.495,0.055026,0.000468,-0.000468,7.4e-05,-3.7e-05
0.675,0.082612,0.000665,-0.000665,3e-06,-6e-06
0.885,0.105757,0.000976,-0.000976,5.5e-05,-2.9e-05
1.065,0.128192,0.001438,-0.001438,1.8e-05,-3.1e-05
1.275,0.142751,0.00212,-0.00212,0.000205,-0.00012
1.485,0.160306,0.003126,-0.003126,0.000674,-0.000338
1.665,0.170704,0.004565,-0.004565,0.000357,-0.000638
1.965,0.188821,0.005395,-0.005395,0.000825,-0.000713
2.355,0.202585,0.01059,-0.01059,0.0006,-0.000674
2.805,0.20945,0.019263,-0.019263,0.003992,-0.004456

