#: table_doi: 10.17182/hepdata.71527.v2/t241
#: name: Table 237
#: description: No description provided.
#: data_file: Table237.yaml
#: keyword reactions: AU AU --> K- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 14.5
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> K- X
#: SQRT(S)/NUCLEON [GeV],14.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.332206,0.022242,0.00513,-0.00513,0.001185,-0.001185
0.504304,0.040011,0.003143,-0.003143,0.000591,-0.000591
0.693879,0.054637,0.003351,-0.003351,0.000267,-0.000267
0.889493,0.089227,0.004282,-0.004282,0.000276,-0.000276
1.08765,0.121609,0.005965,-0.005965,0.000569,-0.000569
1.28744,0.114028,0.008597,-0.008597,0.001865,-0.001865
1.48835,0.144942,0.013423,-0.013423,0.002928,-0.002928
1.68952,0.153222,0.023503,-0.023503,0.004601,-0.004601
1.8899,0.138086,0.039803,-0.039803,0.006185,-0.006185
2.15087,0.121096,0.053507,-0.053507,0.007379,-0.007379
2.55914,0.258792,0.169258,-0.169258,0.023919,-0.023919

