#: table_doi: 10.17182/hepdata.71527.v2/t40
#: name: Table 36
#: description: No description provided.
#: data_file: Table36.yaml
#: keyword reactions: AU AU --> K0S X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 14.5
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> K0S X
#: SQRT(S)/NUCLEON [GeV],14.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.311213,-0.00814,0.009661,-0.009661,0.001799,-0.001799
0.506647,0.00537,0.005051,-0.005051,0.005683,-0.005683
0.759851,0.019939,0.003056,-0.003056,0.001301,-0.001301
1.03382,0.026071,0.00339,-0.00339,0.00065,-0.00065
1.32563,0.041332,0.005168,-0.005168,0.000666,-0.000666
1.62552,0.059986,0.009223,-0.009223,0.001735,-0.001735
1.9592,0.060684,0.015207,-0.015207,0.00213,-0.00213
2.35928,0.050884,0.030763,-0.030763,0.003909,-0.003909
2.83908,-0.006932,0.057991,-0.057991,0.017535,-0.017535

