#: table_doi: 10.17182/hepdata.71527.v2/t251
#: name: Table 247
#: description: No description provided.
#: data_file: Table247.yaml
#: keyword reactions: AU AU --> P X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 19.6
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> P X
#: SQRT(S)/NUCLEON [GeV],19.6
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.014679,0.003246,-0.003246,0.000812,-0.002225
0.495,0.032252,0.001328,-0.001328,0.000283,-0.000687
0.705,0.056176,0.001211,-0.001211,0.000651,-0.001406
0.885,0.089474,0.001321,-0.001321,0.00072,-0.001536
1.095,0.119115,0.001589,-0.001589,0.000588,-0.001146
1.275,0.147322,0.002014,-0.002014,9.7e-05,-8.6e-05
1.485,0.176066,0.002642,-0.002642,0.000291,-0.000609
1.695,0.196203,0.003585,-0.003585,0.000767,-0.0014
1.875,0.226235,0.004977,-0.004977,0.000325,-0.000649
2.085,0.232669,0.006381,-0.006381,0.0005,-0.000795
2.265,0.241099,0.008785,-0.008785,0.001082,-0.001391
2.535,0.259582,0.010313,-0.010313,0.001173,-0.000671
3.015,0.303711,0.020246,-0.020246,0.009959,-0.005011

