#: table_doi: 10.17182/hepdata.71527.v2/t96
#: name: Table 92
#: description: No description provided.
#: data_file: Table92.yaml
#: keyword reactions: AU AU --> K0S X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> K0S X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.3055,0.001987,0.002277,-0.002277,9.6e-05,-0.000102
0.5055,0.011298,0.001209,-0.001209,8e-05,-7.7e-05
0.7055,0.023883,0.000957,-0.000957,1.8e-05,-1.8e-05
0.9055,0.033951,0.000972,-0.000972,4.9e-05,-4.7e-05
1.1055,0.042434,0.001134,-0.001134,9.8e-05,-0.000101
1.2955,0.047875,0.001419,-0.001419,0.000684,-0.000709
1.5055,0.058132,0.001858,-0.001858,7.5e-05,-7.8e-05
1.7055,0.064881,0.002479,-0.002479,9.5e-05,-0.0001
1.9045,0.07001,0.003322,-0.003322,0.000477,-0.000451
2.1055,0.072447,0.00443,-0.00443,0.000302,-0.000284
2.3765,0.072354,0.004718,-0.004718,0.000894,-0.000833
2.8505,0.075185,0.006994,-0.006994,0.001227,-0.001116

