#: table_doi: 10.17182/hepdata.71527.v2/t256
#: name: Table 252
#: description: No description provided.
#: data_file: Table252.yaml
#: keyword reactions: AU AU --> K+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 19.6
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> K+ X
#: SQRT(S)/NUCLEON [GeV],19.6
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.023653,0.002143,-0.002143,0.000103,-5.2e-05
0.495,0.04406,0.001444,-0.001444,3e-06,-9e-06
0.705,0.068401,0.00154,-0.00154,4e-06,-1e-05
0.885,0.09014,0.001902,-0.001902,0.000112,-5.8e-05
1.095,0.106535,0.002484,-0.002484,0.000142,-9.7e-05
1.275,0.12711,0.00337,-0.00337,3.1e-05,-5.2e-05
1.485,0.137241,0.004662,-0.004662,0.000701,-0.00038
1.695,0.150715,0.006589,-0.006589,0.000681,-0.000223
1.965,0.168326,0.007473,-0.007473,0.001432,-0.000605
2.355,0.180259,0.015879,-0.015879,0.004071,-0.008443
2.805,0.221354,0.030724,-0.030724,0.010856,-0.013192

