#: table_doi: 10.17182/hepdata.71527.v2/t173
#: name: Table 169
#: description: No description provided.
#: data_file: Table169.yaml
#: keyword reactions: AU AU --> PHI X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 39.0
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> PHI X
#: SQRT(S)/NUCLEON [GeV],39.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.4905,0.025125,0.008051,-0.008051,0.003622,-0.004792
0.7055,0.019,0.00456,-0.00456,0.002499,-0.003753
0.9055,0.04362,0.00399,-0.00399,0.001234,-0.00214
1.1055,0.06456,0.003993,-0.003993,0.001522,-0.001346
1.2955,0.082772,0.004465,-0.004465,0.004012,-0.001193
1.5825,0.094778,0.004022,-0.004022,0.001577,-0.001994
1.9805,0.116937,0.005825,-0.005825,0.00227,-0.001846
2.3805,0.135436,0.009002,-0.009002,0.003964,-0.003282
2.8715,0.111607,0.012519,-0.012519,0.000236,-0.000281

