#: table_doi: 10.17182/hepdata.71527.v2/t276
#: name: Table 272
#: description: No description provided.
#: data_file: Table272.yaml
#: keyword reactions: AU AU --> LAMBDA X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 39.0
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> LAMBDA X
#: SQRT(S)/NUCLEON [GeV],39.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.3055,0.012483,0.012253,-0.012253,0.004222,-0.004001
0.5055,0.028513,0.00332,-0.00332,0.000593,-0.000647
0.7055,0.053164,0.002077,-0.002077,0.000454,-0.000606
0.9055,0.080257,0.001814,-0.001814,0.000403,-0.000502
1.1055,0.10725,0.001848,-0.001848,0.000486,-0.00053
1.2955,0.13607,0.002062,-0.002062,0.000408,-0.000538
1.5055,0.161325,0.002443,-0.002443,0.000543,-0.000391
1.7055,0.182519,0.003008,-0.003008,0.00156,-0.001146
1.9055,0.209256,0.003812,-0.003812,0.000846,-0.000977
2.1045,0.235195,0.004902,-0.004902,0.001524,-0.001496
2.3055,0.235571,0.006447,-0.006447,0.001223,-0.001382
2.5055,0.254853,0.008563,-0.008563,0.004804,-0.005063
2.7045,0.265808,0.01123,-0.01123,0.002579,-0.002601
3.0055,0.279131,0.012255,-0.012255,0.005372,-0.002881
3.4055,0.286439,0.022769,-0.022769,0.006337,-0.006876
3.9565,0.324962,0.035908,-0.035908,0.020324,-0.021132

