#: table_doi: 10.17182/hepdata.71527.v2/t169
#: name: Table 165
#: description: No description provided.
#: data_file: Table165.yaml
#: keyword reactions: AU AU --> PI- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> PI- X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.025065,6.4e-05,-6.4e-05,0.0,-0.0
0.495,0.04757,7.9e-05,-7.9e-05,7.9e-05,-3.9e-05
0.675,0.069042,0.000108,-0.000108,9.6e-05,-4.8e-05
0.885,0.088313,0.000155,-0.000155,4e-06,-9e-06
1.065,0.104646,0.000222,-0.000222,1e-05,-6e-06
1.275,0.117747,0.000317,-0.000317,8e-06,-1.5e-05
1.485,0.12904,0.000447,-0.000447,0.000115,-0.000229
1.665,0.136938,0.000636,-0.000636,1.5e-05,-8e-06
1.875,0.143521,0.0009,-0.0009,4e-06,-4e-06
2.085,0.15096,0.001252,-0.001252,5.7e-05,-4.5e-05
2.355,0.151491,0.001401,-0.001401,0.000112,-0.000209
2.805,0.156554,0.002361,-0.002361,0.000157,-0.000202
3.465,0.138774,0.005643,-0.005643,0.005215,-0.004037

