#: table_doi: 10.17182/hepdata.71527.v2/t341
#: name: Table 337
#: description: No description provided.
#: data_file: Table337.yaml
#: keyword reactions: AU AU --> PHI X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 19.6
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> PHI X
#: SQRT(S)/NUCLEON [GeV],19.6
PT [GEV],v2,stat +,stat -,sys +,sys -
0.6515,0.004295,0.00881,-0.00881,0.0092,-0.012843
0.9975,0.041625,0.00663,-0.00663,0.003374,-0.002886
1.3735,0.074038,0.008632,-0.008632,0.005495,-0.004349
1.7775,0.083401,0.013551,-0.013551,0.004419,-0.005506
2.2605,0.09911,0.019711,-0.019711,0.002617,-0.003245

