#: table_doi: 10.17182/hepdata.71527.v2/t307
#: name: Table 303
#: description: No description provided.
#: data_file: Table303.yaml
#: keyword reactions: AU AU --> P X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 7.7
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> P X
#: SQRT(S)/NUCLEON [GeV],7.7
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.006917,0.003063,-0.003063,0.001235,-0.003535
0.495,0.016155,0.001182,-0.001182,0.000243,-0.00048
0.705,0.031234,0.001021,-0.001021,0.000186,-0.000368
0.885,0.046241,0.001067,-0.001067,0.0001,-7.9e-05
1.095,0.06163,0.001248,-0.001248,6.6e-05,-3.8e-05
1.275,0.07055,0.001556,-0.001556,0.000633,-0.000307
1.485,0.082495,0.002031,-0.002031,0.001269,-0.00063
1.695,0.093121,0.002754,-0.002754,0.000462,-0.000248
1.875,0.098524,0.003831,-0.003831,0.000405,-0.000204
2.085,0.099318,0.005283,-0.005283,0.000418,-0.000832
2.265,0.107344,0.007512,-0.007512,0.002095,-0.001172
2.475,0.105471,0.011062,-0.011062,0.002611,-0.005032
2.835,0.097471,0.013862,-0.013862,0.002176,-0.003999

