#: table_doi: 10.17182/hepdata.71527.v2/t282
#: name: Table 278
#: description: No description provided.
#: data_file: Table278.yaml
#: keyword reactions: AU AU --> PI+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 39.0
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> PI+ X
#: SQRT(S)/NUCLEON [GeV],39.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.028888,0.000143,-0.000143,9.2e-05,-4.6e-05
0.495,0.058912,0.000178,-0.000178,1.5e-05,-2.5e-05
0.675,0.088484,0.00025,-0.00025,2e-06,-3e-06
0.885,0.114564,0.000359,-0.000359,1.3e-05,-2e-05
1.065,0.138449,0.000518,-0.000518,4e-05,-2.6e-05
1.275,0.156339,0.000737,-0.000737,1.1e-05,-2.3e-05
1.485,0.173457,0.001052,-0.001052,4.1e-05,-7.6e-05
1.665,0.181754,0.001484,-0.001484,0.000267,-0.000303
1.875,0.19405,0.002019,-0.002019,0.000149,-0.00028
2.085,0.19931,0.002692,-0.002692,0.000463,-0.000455
2.355,0.210363,0.002846,-0.002846,0.001744,-0.001091
2.835,0.227665,0.004517,-0.004517,0.001066,-0.001713

