#: table_doi: 10.17182/hepdata.71527.v2/t108
#: name: Table 104
#: description: No description provided.
#: data_file: Table104.yaml
#: keyword reactions: AU AU --> LAMBDA X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 7.7
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> LAMBDA X
#: SQRT(S)/NUCLEON [GeV],7.7
PT [GEV],v2,stat +,stat -,sys +,sys -
0.4935,0.005617,0.007717,-0.007717,0.004,-0.003031
0.7055,0.036717,0.004833,-0.004833,0.001104,-0.00144
0.9055,0.048101,0.004148,-0.004148,0.001674,-0.001013
1.1055,0.079214,0.004257,-0.004257,0.001841,-0.000987
1.2955,0.08157,0.004859,-0.004859,0.001078,-0.001627
1.5055,0.086786,0.006009,-0.006009,0.000746,-0.001918
1.7055,0.108612,0.007764,-0.007764,0.001702,-0.002588
1.9055,0.122262,0.010492,-0.010492,0.001877,-0.004014
2.1695,0.133421,0.012023,-0.012023,0.004933,-0.004044
2.6175,0.153319,0.022757,-0.022757,0.01043,-0.010483

