#: table_doi: 10.17182/hepdata.71527.v2/t145
#: name: Table 141
#: description: No description provided.
#: data_file: Table141.yaml
#: keyword reactions: AU AU --> PHI X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 19.6
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> PHI X
#: SQRT(S)/NUCLEON [GeV],19.6
PT [GEV],v2,stat +,stat -,sys +,sys -
0.6515,0.014229,0.008623,-0.008623,0.005124,-0.005295
0.9985,0.048128,0.006306,-0.006306,0.002497,-0.004387
1.3735,0.073447,0.008119,-0.008119,0.003399,-0.001806
1.7775,0.087247,0.012402,-0.012402,0.004401,-0.005418
2.2645,0.113327,0.017897,-0.017897,0.002224,-0.002013

