#: table_doi: 10.17182/hepdata.71527.v2/t71
#: name: Table 67
#: description: No description provided.
#: data_file: Table67.yaml
#: keyword reactions: AU AU --> PI- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> PI- X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.013858,0.000121,-0.000121,0.0,-0.0
0.495,0.023741,0.000146,-0.000146,4.5e-05,-2.2e-05
0.675,0.034084,0.000201,-0.000201,5.2e-05,-2.6e-05
0.885,0.042832,0.000287,-0.000287,6e-06,-1.1e-05
1.065,0.049714,0.00041,-0.00041,7.4e-05,-0.000148
1.275,0.055496,0.000585,-0.000585,1e-05,-1.9e-05
1.545,0.060823,0.000679,-0.000679,0.000284,-0.000143
1.935,0.064561,0.00138,-0.00138,3.8e-05,-1.8e-05
2.355,0.070474,0.00266,-0.00266,0.000336,-0.000308
2.835,0.060936,0.004571,-0.004571,0.000403,-0.00048

