#: table_doi: 10.17182/hepdata.71527.v2/t248
#: name: Table 244
#: description: No description provided.
#: data_file: Table244.yaml
#: keyword reactions: AU AU --> LAMBDA X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 19.6
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> LAMBDA X
#: SQRT(S)/NUCLEON [GeV],19.6
PT [GEV],v2,stat +,stat -,sys +,sys -
0.4925,0.023518,0.006882,-0.006882,0.001903,-0.001522
0.7055,0.045888,0.004568,-0.004568,0.001213,-0.001455
0.9055,0.069365,0.004071,-0.004071,0.001796,-0.000948
1.1055,0.103239,0.004239,-0.004239,0.001167,-0.001153
1.2955,0.125374,0.004879,-0.004879,0.00072,-0.000588
1.5055,0.153912,0.005932,-0.005932,0.002159,-0.002124
1.7055,0.176692,0.007517,-0.007517,0.001943,-0.001604
1.9755,0.207654,0.007849,-0.007849,0.00156,-0.001918
2.3725,0.271102,0.014375,-0.014375,0.008431,-0.004315
2.8195,0.267794,0.024535,-0.024535,0.00589,-0.006703

