#: table_doi: 10.17182/hepdata.71527.v2/t263
#: name: Table 259
#: description: No description provided.
#: data_file: Table259.yaml
#: keyword reactions: AU AU --> LAMBDABAR X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> LAMBDABAR X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.3055,0.088045,0.027115,-0.027115,0.012717,-0.015922
0.5055,0.025683,0.007799,-0.007799,0.001706,-0.001737
0.7055,0.044315,0.0051,-0.0051,0.00067,-0.001178
0.9055,0.066882,0.00456,-0.00456,0.000631,-0.001226
1.1045,0.093184,0.004748,-0.004748,0.001657,-0.001489
1.2955,0.138275,0.00548,-0.00548,0.002525,-0.002183
1.5055,0.154543,0.006628,-0.006628,0.002293,-0.001888
1.7055,0.170402,0.008414,-0.008414,0.001087,-0.002036
1.9055,0.214846,0.010868,-0.010868,0.002166,-0.002197
2.1735,0.226474,0.011618,-0.011618,0.004493,-0.005121
2.6445,0.228395,0.018671,-0.018671,0.006179,-0.006383

