#: table_doi: 10.17182/hepdata.71527.v2/t13
#: name: Table 9
#: description: No description provided.
#: data_file: Table9.yaml
#: keyword reactions: AU AU --> P X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 7.7
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> P X
#: SQRT(S)/NUCLEON [GeV],7.7
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,-0.000269,0.006867,-0.006867,0.002077,-0.005839
0.495,0.002923,0.002602,-0.002602,0.00079,-0.000526
0.705,0.012652,0.002195,-0.002195,0.000112,-0.00021
0.885,0.021058,0.002245,-0.002245,0.000261,-0.000192
1.095,0.026174,0.002581,-0.002581,0.00022,-0.000116
1.275,0.03079,0.003172,-0.003172,0.000542,-0.000594
1.485,0.0368,0.004098,-0.004098,0.002031,-0.001116
1.695,0.040028,0.005514,-0.005514,0.000537,-0.000976
1.875,0.038761,0.007629,-0.007629,0.000971,-0.000495
2.145,0.042143,0.008521,-0.008521,0.00251,-0.001704
2.625,0.020809,0.017097,-0.017097,0.004138,-0.008159

