#: table_doi: 10.17182/hepdata.71527.v2/t188
#: name: Table 184
#: description: No description provided.
#: data_file: Table184.yaml
#: keyword reactions: AU AU --> XI- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> XI- X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.6775,0.031248,0.009798,-0.009798,0.00428,-0.003916
0.9045,0.041236,0.006229,-0.006229,0.003373,-0.002381
1.1055,0.058991,0.004933,-0.004933,0.003144,-0.002561
1.2955,0.087039,0.004473,-0.004473,0.002435,-0.002213
1.5055,0.097499,0.004421,-0.004421,0.002009,-0.002467
1.7055,0.124906,0.004721,-0.004721,0.002373,-0.001624
1.9055,0.136799,0.005302,-0.005302,0.002345,-0.001891
2.1045,0.149076,0.006241,-0.006241,0.004055,-0.002406
2.3055,0.170903,0.007548,-0.007548,0.002578,-0.002755
2.5055,0.195106,0.009416,-0.009416,0.003722,-0.004992
2.7995,0.196877,0.008532,-0.008532,0.004747,-0.003327
3.5445,0.220816,0.017277,-0.017277,0.010453,-0.011372

