#: table_doi: 10.17182/hepdata.71527.v2/t100
#: name: Table 96
#: description: No description provided.
#: data_file: Table96.yaml
#: keyword reactions: AU AU --> PI+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> PI+ X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.010536,0.000106,-0.000106,0.000376,-0.000181
0.495,0.021919,0.000122,-0.000122,6.7e-05,-3.8e-05
0.675,0.034117,0.000165,-0.000165,0.000862,-0.000451
0.885,0.043739,0.000229,-0.000229,4.4e-05,-2.3e-05
1.065,0.05263,0.00032,-0.00032,5e-06,-6e-06
1.275,0.059702,0.000447,-0.000447,4e-06,-3e-06
1.485,0.066282,0.000629,-0.000629,1.3e-05,-2.1e-05
1.665,0.069964,0.000883,-0.000883,4.9e-05,-2.5e-05
1.875,0.071671,0.001224,-0.001224,7e-05,-8.1e-05
2.085,0.073417,0.001654,-0.001654,0.000127,-0.00026
2.355,0.078267,0.001731,-0.001731,0.000211,-0.000163
2.835,0.07916,0.002628,-0.002628,0.001524,-0.000573
3.495,0.084241,0.00572,-0.00572,0.001378,-0.001329

