#: table_doi: 10.17182/hepdata.71527.v2/t240
#: name: Table 236
#: description: No description provided.
#: data_file: Table236.yaml
#: keyword reactions: AU AU --> PI+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 14.5
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> PI+ X
#: SQRT(S)/NUCLEON [GeV],14.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.297605,0.027121,0.000632,-0.000632,0.000268,-0.000268
0.490369,0.054694,0.00075,-0.00075,0.000557,-0.000557
0.686939,0.079637,0.001074,-0.001074,0.000496,-0.000496
0.885035,0.103092,0.001633,-0.001633,0.000364,-0.000364
1.08409,0.121423,0.002608,-0.002608,0.00067,-0.00067
1.28411,0.144971,0.003702,-0.003702,0.00114,-0.00114
1.48534,0.15315,0.005544,-0.005544,0.001479,-0.001479
1.68768,0.163211,0.008376,-0.008376,0.001434,-0.001434
1.89009,0.164864,0.01254,-0.01254,0.004405,-0.004405
2.16559,0.20047,0.015409,-0.015409,0.001025,-0.001025
2.5811,0.145828,0.032747,-0.032747,0.012087,-0.012087

