#: table_doi: 10.17182/hepdata.71527.v2/t155
#: name: Table 151
#: description: No description provided.
#: data_file: Table151.yaml
#: keyword reactions: AU AU --> PI- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 19.6
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> PI- X
#: SQRT(S)/NUCLEON [GeV],19.6
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.025219,9.9e-05,-9.9e-05,0.000124,-6.2e-05
0.495,0.04725,0.000122,-0.000122,5.3e-05,-2.8e-05
0.675,0.067902,0.00017,-0.00017,9e-06,-5e-06
0.885,0.086544,0.000246,-0.000246,8e-06,-1.2e-05
1.065,0.101499,0.000358,-0.000358,5e-06,-4e-06
1.275,0.115212,0.000519,-0.000519,7e-06,-4e-06
1.485,0.125521,0.000758,-0.000758,1.1e-05,-1.4e-05
1.665,0.132089,0.001101,-0.001101,7.2e-05,-3.2e-05
1.875,0.139212,0.001561,-0.001561,0.00014,-0.000207
2.085,0.147458,0.00219,-0.00219,0.000283,-0.000172
2.355,0.148416,0.002501,-0.002501,0.000686,-0.000743
2.805,0.155312,0.004484,-0.004484,0.001076,-0.001533
3.435,0.175952,0.012085,-0.012085,0.004733,-0.004316

