#: table_doi: 10.17182/hepdata.71527.v2/t167
#: name: Table 163
#: description: No description provided.
#: data_file: Table163.yaml
#: keyword reactions: AU AU --> P X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> P X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.007243,0.000704,-0.000704,0.000342,-0.001027
0.495,0.0176,0.000275,-0.000275,0.000448,-0.001134
0.705,0.036475,0.000235,-0.000235,0.000582,-0.001333
0.885,0.059506,0.00024,-0.00024,0.000559,-0.001234
1.095,0.08453,0.000272,-0.000272,0.000474,-0.001032
1.275,0.107969,0.000327,-0.000327,0.000309,-0.000666
1.485,0.129523,0.000409,-0.000409,0.000343,-0.000734
1.695,0.148708,0.000529,-0.000529,0.000176,-0.000374
1.875,0.163259,0.000701,-0.000701,0.000123,-0.000259
2.085,0.176651,0.000902,-0.000902,2.5e-05,-5.2e-05
2.295,0.1848,0.001211,-0.001211,4.4e-05,-8.2e-05
2.475,0.195875,0.001671,-0.001671,7.1e-05,-3.4e-05
2.685,0.201553,0.002354,-0.002354,0.000152,-7.2e-05
2.955,0.209258,0.002725,-0.002725,0.000261,-0.000549
3.435,0.214492,0.005257,-0.005257,0.00069,-0.000324

