#: table_doi: 10.17182/hepdata.71527.v2/t70
#: name: Table 66
#: description: No description provided.
#: data_file: Table66.yaml
#: keyword reactions: AU AU --> PBAR X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> PBAR X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,-0.005173,0.00324,-0.00324,0.001169,-0.000469
0.495,-0.002384,0.001346,-0.001346,0.000629,-0.00169
0.705,0.006943,0.001104,-0.001104,0.000216,-0.000502
0.885,0.013263,0.001097,-0.001097,0.000486,-0.001093
1.095,0.026989,0.001206,-0.001206,0.000232,-0.000516
1.275,0.041923,0.001435,-0.001435,0.000334,-0.000744
1.485,0.047699,0.001784,-0.001784,0.000113,-0.000241
1.695,0.057948,0.002313,-0.002313,0.000471,-0.000217
1.875,0.063776,0.002819,-0.002819,0.000611,-0.000281
2.085,0.07244,0.003786,-0.003786,0.002716,-0.001257
2.295,0.071871,0.005109,-0.005109,0.000437,-0.00023
2.535,0.082805,0.00591,-0.00591,0.000388,-0.000544
3.075,0.079141,0.011772,-0.011772,0.000688,-0.001503

