#: table_doi: 10.17182/hepdata.71527.v2/t163
#: name: Table 159
#: description: No description provided.
#: data_file: Table159.yaml
#: keyword reactions: AU AU --> OMEGABAR+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> OMEGABAR+ X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
1.4305,0.073247,0.024161,-0.024161,0.007287,-0.011709
2.2205,0.147733,0.02714,-0.02714,0.013569,-0.014878

