#: table_doi: 10.17182/hepdata.71527.v2/t112
#: name: Table 108
#: description: No description provided.
#: data_file: Table108.yaml
#: keyword reactions: AU AU --> PBAR X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 7.7
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> PBAR X
#: SQRT(S)/NUCLEON [GeV],7.7
PT [GEV],v2,stat +,stat -,sys +,sys -
0.465,-0.003939,0.012859,-0.012859,0.001821,-0.00454
0.795,-0.010125,0.008753,-0.008753,0.003011,-0.006818
1.155,0.024242,0.012587,-0.012587,0.00619,-0.003434
1.635,0.075055,0.018893,-0.018893,0.002442,-0.002967

