#: table_doi: 10.17182/hepdata.71527.v2/t269
#: name: Table 265
#: description: No description provided.
#: data_file: Table265.yaml
#: keyword reactions: AU AU --> K- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> K- X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.022668,0.001534,-0.001534,1.3e-05,-7e-06
0.495,0.039333,0.001039,-0.001039,1e-05,-1.9e-05
0.705,0.066453,0.001112,-0.001112,5e-06,-9e-06
0.885,0.092143,0.001382,-0.001382,7e-06,-6e-06
1.095,0.110992,0.001816,-0.001816,4e-05,-2e-05
1.275,0.132704,0.002414,-0.002414,5e-06,-3e-06
1.485,0.149874,0.003277,-0.003277,4.4e-05,-5.6e-05
1.695,0.155613,0.00455,-0.00455,9.7e-05,-0.000106
1.965,0.178867,0.005225,-0.005225,0.000314,-0.000186
2.355,0.219579,0.011243,-0.011243,0.001002,-0.001055
2.805,0.203398,0.019721,-0.019721,0.002692,-0.002644

