#: table_doi: 10.17182/hepdata.71527.v2/t390
#: name: Table 386
#: description: No description provided.
#: data_file: Table386.yaml
#: keyword reactions: AU AU --> K0S X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> K0S X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.3055,0.012604,0.000905,-0.000905,5.9e-05,-6.1e-05
0.5055,0.028391,0.000526,-0.000526,1e-05,-1e-05
0.7055,0.047773,0.000437,-0.000437,8e-06,-8e-06
0.9055,0.065533,0.000454,-0.000454,6.1e-05,-6.2e-05
1.1055,0.081037,0.000534,-0.000534,1.8e-05,-1.8e-05
1.2955,0.094214,0.00067,-0.00067,0.000181,-0.000187
1.5055,0.106462,0.000875,-0.000875,0.000141,-0.000136
1.7055,0.115122,0.001164,-0.001164,0.000107,-0.000112
1.9045,0.124632,0.001552,-0.001552,0.000186,-0.000177
2.1055,0.130506,0.002064,-0.002064,0.000269,-0.000254
2.3055,0.132923,0.002735,-0.002735,0.001262,-0.001186
2.5055,0.137253,0.003613,-0.003613,7.9e-05,-8.5e-05
2.7055,0.137584,0.00476,-0.00476,0.000804,-0.000873
3.0055,0.13788,0.004949,-0.004949,0.001203,-0.0012
3.4055,0.133286,0.008335,-0.008335,0.001542,-0.001572
3.9755,0.119046,0.011402,-0.011402,0.005142,-0.005904

