#: table_doi: 10.17182/hepdata.71527.v2/t141
#: name: Table 137
#: description: No description provided.
#: data_file: Table137.yaml
#: keyword reactions: AU AU --> PI- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 14.5
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> PI- X
#: SQRT(S)/NUCLEON [GeV],14.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.297858,0.027465,0.000173,-0.000173,0.00067,-0.00067
0.490942,0.04748,0.000203,-0.000203,0.000566,-0.000566
0.687667,0.066452,0.000286,-0.000286,0.000562,-0.000562
0.885859,0.083838,0.000425,-0.000425,0.000689,-0.000689
1.08498,0.099441,0.000663,-0.000663,0.000689,-0.000689
1.28502,0.109671,0.000929,-0.000929,0.000698,-0.000698
1.48613,0.119446,0.001356,-0.001356,0.000921,-0.000921
1.68816,0.127751,0.001987,-0.001987,0.000812,-0.000812
1.89021,0.131659,0.002921,-0.002921,0.00054,-0.00054
2.16528,0.137716,0.003492,-0.003492,0.000557,-0.000557
2.5805,0.139558,0.006869,-0.006869,0.000614,-0.000614

