#: table_doi: 10.17182/hepdata.71527.v2/t396
#: name: Table 392
#: description: No description provided.
#: data_file: Table392.yaml
#: keyword reactions: AU AU --> K+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> K+ X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.0128,0.000333,-0.000333,3.8e-05,-2.3e-05
0.495,0.02815,0.000204,-0.000204,3.8e-05,-2.5e-05
0.705,0.047977,0.000202,-0.000202,5.8e-05,-3.9e-05
0.885,0.066765,0.000232,-0.000232,5.4e-05,-2.2e-05
1.095,0.083377,0.000285,-0.000285,6.3e-05,-1.8e-05
1.275,0.095404,0.000366,-0.000366,0.000161,-1.8e-05
1.485,0.106832,0.000482,-0.000482,0.000181,-2.5e-05
1.695,0.116863,0.000641,-0.000641,0.000118,-0.000108
1.875,0.122605,0.000869,-0.000869,0.000119,-9.6e-05
2.085,0.128074,0.001205,-0.001205,0.000292,-0.00019
2.295,0.132259,0.001684,-0.001684,0.000502,-0.000497
2.475,0.137232,0.00235,-0.00235,0.000374,-0.000317
2.685,0.13796,0.003327,-0.003327,0.000509,-0.000362
2.955,0.137573,0.003747,-0.003747,0.00092,-0.001038
3.345,0.145755,0.005299,-0.005299,0.002287,-0.00173

