#: table_doi: 10.17182/hepdata.71527.v2/t116
#: name: Table 112
#: description: No description provided.
#: data_file: Table112.yaml
#: keyword reactions: AU AU --> K+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 7.7
#: CENTRALITY [pct],10.0-40.0
#: RE,AU AU --> K+ X
#: SQRT(S)/NUCLEON [GeV],7.7
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.012335,0.002597,-0.002597,0.000182,-0.000214
0.495,0.028457,0.001691,-0.001691,3.1e-05,-1.7e-05
0.705,0.049324,0.001779,-0.001779,5.8e-05,-8.8e-05
0.885,0.0675,0.002204,-0.002204,0.000169,-9.5e-05
1.155,0.080886,0.002392,-0.002392,8.3e-05,-5e-05
1.545,0.100798,0.004787,-0.004787,0.000265,-0.000455
1.965,0.087859,0.010603,-0.010603,0.003782,-0.003934

