#: table_doi: 10.17182/hepdata.71527.v2/t298
#: name: Table 294
#: description: No description provided.
#: data_file: Table294.yaml
#: keyword reactions: AU AU --> K+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> K+ X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.023864,0.001144,-0.001144,2.5e-05,-3.2e-05
0.495,0.047708,0.000735,-0.000735,4.5e-05,-5.5e-05
0.705,0.074117,0.00076,-0.00076,6.2e-05,-5.8e-05
0.885,0.102174,0.000904,-0.000904,0.000107,-6.3e-05
1.095,0.125623,0.001134,-0.001134,0.0001,-9.9e-05
1.275,0.141866,0.001476,-0.001476,0.000155,-9.8e-05
1.485,0.157419,0.001955,-0.001955,0.000308,-0.000513
1.695,0.169195,0.002596,-0.002596,0.000317,-0.000672
1.875,0.177781,0.003499,-0.003499,0.00064,-0.000456
2.085,0.183851,0.004705,-0.004705,0.001086,-0.001388
2.295,0.194883,0.00646,-0.00646,0.001167,-0.000984
2.475,0.197105,0.008779,-0.008779,0.001785,-0.001918
2.835,0.200496,0.008575,-0.008575,0.002615,-0.002255

