#: table_doi: 10.17182/hepdata.71527.v2/t250
#: name: Table 246
#: description: No description provided.
#: data_file: Table246.yaml
#: keyword reactions: AU AU --> K0S X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 19.6
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> K0S X
#: SQRT(S)/NUCLEON [GeV],19.6
PT [GEV],v2,stat +,stat -,sys +,sys -
0.3055,0.010472,0.004896,-0.004896,0.000107,-0.000106
0.5055,0.036338,0.003268,-0.003268,0.000254,-0.00025
0.7055,0.058924,0.003003,-0.003003,0.000268,-0.000262
0.9055,0.094246,0.003375,-0.003375,0.000334,-0.000344
1.1055,0.108182,0.004231,-0.004231,0.001815,-0.001747
1.2955,0.131398,0.005646,-0.005646,0.000287,-0.000274
1.5055,0.136625,0.00778,-0.00778,0.000716,-0.000754
1.7055,0.167405,0.010951,-0.010951,0.000873,-0.000924
1.9055,0.177693,0.015557,-0.015557,0.001215,-0.001298
2.1705,0.187786,0.017982,-0.017982,0.000773,-0.000721
2.6165,0.174676,0.032666,-0.032666,0.004912,-0.004808

