#: table_doi: 10.17182/hepdata.71527.v2/t42
#: name: Table 38
#: description: No description provided.
#: data_file: Table38.yaml
#: keyword reactions: AU AU --> PBAR X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 14.5
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> PBAR X
#: SQRT(S)/NUCLEON [GeV],14.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.352354,-0.037065,0.018539,-0.018539,0.012109,-0.012109
0.517642,-0.005595,0.006003,-0.006003,0.00095,-0.00095
0.705114,-0.004648,0.004592,-0.004592,0.001621,-0.001621
0.898436,0.004556,0.004479,-0.004479,0.002088,-0.002088
1.09448,0.016226,0.004977,-0.004977,0.002601,-0.002601
1.29206,0.022962,0.005946,-0.005946,0.001437,-0.001437
1.49062,0.035027,0.007504,-0.007504,0.001769,-0.001769
1.68986,0.049175,0.009909,-0.009909,0.001559,-0.001559
1.88961,0.046818,0.013972,-0.013972,0.003069,-0.003069
2.1592,0.048742,0.017473,-0.017473,0.002268,-0.002268
2.5867,0.007208,0.045148,-0.045148,0.014848,-0.014848

