#: table_doi: 10.17182/hepdata.71527.v2/t291
#: name: Table 287
#: description: No description provided.
#: data_file: Table287.yaml
#: keyword reactions: AU AU --> LAMBDABAR X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> LAMBDABAR X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.4915,0.022854,0.005324,-0.005324,0.003058,-0.00291
0.7055,0.048644,0.003532,-0.003532,0.001162,-0.002033
0.9055,0.072439,0.00308,-0.00308,0.000938,-0.000711
1.1055,0.10316,0.003131,-0.003131,0.000856,-0.000518
1.2955,0.131054,0.003472,-0.003472,0.001201,-0.001008
1.5055,0.166935,0.004067,-0.004067,0.001212,-0.001206
1.7055,0.194358,0.004964,-0.004964,0.001897,-0.001857
1.9055,0.20509,0.006191,-0.006191,0.001457,-0.001074
2.1775,0.228614,0.006329,-0.006329,0.002346,-0.002483
2.5755,0.254261,0.011026,-0.011026,0.003123,-0.00341
3.1305,0.280217,0.016877,-0.016877,0.004484,-0.004537

