#: table_doi: 10.17182/hepdata.71527.v2/t366
#: name: Table 362
#: description: No description provided.
#: data_file: Table362.yaml
#: keyword reactions: AU AU --> PI+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> PI+ X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.020408,6.3e-05,-6.3e-05,0.0,-0.0
0.495,0.040493,7.7e-05,-7.7e-05,6.9e-05,-3.4e-05
0.675,0.059275,0.000106,-0.000106,2.8e-05,-1.4e-05
0.885,0.075982,0.000151,-0.000151,4e-06,-7e-06
1.065,0.089791,0.000217,-0.000217,3.1e-05,-6.1e-05
1.275,0.100898,0.000309,-0.000309,5e-06,-4e-06
1.485,0.110136,0.000439,-0.000439,1e-05,-6e-06
1.665,0.117802,0.000629,-0.000629,1.9e-05,-2e-05
1.875,0.121748,0.000896,-0.000896,1.5e-05,-1.6e-05
2.085,0.127693,0.001249,-0.001249,4.1e-05,-2.8e-05
2.295,0.133237,0.001717,-0.001717,3.5e-05,-5.9e-05
2.475,0.13354,0.00237,-0.00237,4.8e-05,-4.7e-05
2.805,0.138953,0.00243,-0.00243,0.000201,-0.000196
3.465,0.139932,0.005937,-0.005937,0.000695,-0.000325

