#: table_doi: 10.17182/hepdata.71527.v2/t38
#: name: Table 34
#: description: No description provided.
#: data_file: Table34.yaml
#: keyword reactions: AU AU --> LAMBDA X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 14.5
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> LAMBDA X
#: SQRT(S)/NUCLEON [GeV],14.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.605257,0.025095,0.008949,-0.008949,0.004029,-0.004029
0.816889,0.025035,0.005275,-0.005275,0.001181,-0.001181
1.04725,0.025762,0.003511,-0.003511,0.002212,-0.002212
1.3393,0.03898,0.003859,-0.003859,0.001171,-0.001171
1.63435,0.052853,0.004948,-0.004948,0.000457,-0.000457
1.96432,0.06217,0.006541,-0.006541,0.002755,-0.002755
2.3601,0.063595,0.011934,-0.011934,0.003842,-0.003842
2.83783,0.056932,0.020913,-0.020913,0.010546,-0.010546

