#: table_doi: 10.17182/hepdata.71527.v2/t267
#: name: Table 263
#: description: No description provided.
#: data_file: Table263.yaml
#: keyword reactions: AU AU --> PI- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> PI- X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.028084,0.000222,-0.000222,0.0,-0.0
0.495,0.057612,0.00028,-0.00028,0.000124,-6.2e-05
0.675,0.086832,0.000394,-0.000394,7e-06,-1.5e-05
0.885,0.113901,0.000574,-0.000574,4.1e-05,-7.3e-05
1.065,0.13458,0.000836,-0.000836,0.000193,-0.000375
1.275,0.151988,0.001205,-0.001205,6.3e-05,-0.000111
1.485,0.167185,0.00172,-0.00172,6.3e-05,-0.000419
1.665,0.183013,0.00246,-0.00246,0.000135,-0.000253
1.965,0.194763,0.002832,-0.002832,0.000343,-0.000217
2.355,0.208071,0.005369,-0.005369,0.000338,-0.000346
2.835,0.228593,0.009082,-0.009082,0.001456,-0.00206

