#: table_doi: 10.17182/hepdata.71527.v2/t283
#: name: Table 279
#: description: No description provided.
#: data_file: Table279.yaml
#: keyword reactions: AU AU --> K- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation | Strange production
#: keyword cmenergies: 39.0
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> K- X
#: SQRT(S)/NUCLEON [GeV],39.0
PT [GEV],v2,stat +,stat -,sys +,sys -
0.315,0.022586,0.000964,-0.000964,2.7e-05,-3e-06
0.495,0.043762,0.000643,-0.000643,2.6e-05,-1e-05
0.705,0.069916,0.00068,-0.00068,9e-05,-1.1e-05
0.885,0.098241,0.000831,-0.000831,7.3e-05,-3.9e-05
1.095,0.119146,0.001072,-0.001072,9.9e-05,-2.7e-05
1.275,0.139389,0.001424,-0.001424,0.000104,-5.7e-05
1.485,0.153179,0.001938,-0.001938,0.000108,-0.000142
1.695,0.167905,0.00269,-0.00269,0.000368,-0.000426
1.875,0.181927,0.003843,-0.003843,0.000497,-0.000327
2.085,0.188784,0.00561,-0.00561,0.000846,-0.001036
2.355,0.178602,0.006608,-0.006608,0.00177,-0.001655
2.835,0.210977,0.011672,-0.011672,0.003898,-0.003801

