#: table_doi: 10.17182/hepdata.71527.v2/t393
#: name: Table 389
#: description: No description provided.
#: data_file: Table389.yaml
#: keyword reactions: AU AU --> PI- X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 62.4
#: CENTRALITY [pct],0.0-80.0
#: RE,AU AU --> PI- X
#: SQRT(S)/NUCLEON [GeV],62.4
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.021712,5.3e-05,-5.3e-05,0.000627,-0.000305
0.495,0.042727,6.3e-05,-6.3e-05,8.2e-05,-4.7e-05
0.675,0.063633,8.5e-05,-8.5e-05,0.000179,-9.3e-05
0.885,0.081991,0.00012,-0.00012,4.2e-05,-2.1e-05
1.065,0.097518,0.000168,-0.000168,1.1e-05,-1.2e-05
1.275,0.110818,0.000235,-0.000235,9e-06,-5e-06
1.485,0.121067,0.000331,-0.000331,5e-05,-3.1e-05
1.665,0.129672,0.000464,-0.000464,2.7e-05,-4.2e-05
1.875,0.136613,0.00064,-0.00064,4.6e-05,-2.9e-05
2.085,0.140246,0.000855,-0.000855,4.2e-05,-4e-05
2.295,0.145431,0.00113,-0.00113,4.3e-05,-9.1e-05
2.475,0.149552,0.001484,-0.001484,0.000129,-0.000115
2.685,0.147273,0.001947,-0.001947,0.000142,-0.000172
2.955,0.148248,0.002046,-0.002046,0.000244,-0.000308
3.345,0.152181,0.003433,-0.003433,0.000196,-0.000199

