#: table_doi: 10.17182/hepdata.71527.v2/t226
#: name: Table 222
#: description: No description provided.
#: data_file: Table222.yaml
#: keyword reactions: AU AU --> PI+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 11.5
#: CENTRALITY [pct],40.0-80.0
#: RE,AU AU --> PI+ X
#: SQRT(S)/NUCLEON [GeV],11.5
PT [GEV],v2,stat +,stat -,sys +,sys -
0.285,0.025412,0.000811,-0.000811,0.0,-0.0
0.495,0.052596,0.001047,-0.001047,8.1e-05,-4e-05
0.675,0.070652,0.001505,-0.001505,0.000554,-0.000279
0.885,0.098315,0.002256,-0.002256,1.2e-05,-6e-06
1.065,0.10694,0.00341,-0.00341,0.001864,-0.00096
1.275,0.135477,0.005147,-0.005147,0.000705,-0.000355
1.545,0.139412,0.006519,-0.006519,0.000936,-0.001599
1.935,0.196748,0.014983,-0.014983,0.00026,-0.000307

