#: table_doi: 10.17182/hepdata.71527.v2/t65
#: name: Table 61
#: description: No description provided.
#: data_file: Table61.yaml
#: keyword reactions: AU AU --> OMEGABAR+ X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 27.0
#: CENTRALITY [pct],0.0-10.0
#: RE,AU AU --> OMEGABAR+ X
#: SQRT(S)/NUCLEON [GeV],27.0
PT [GEV],v2,stat +,stat -,sys +,sys -
1.5565,-0.024247,0.048044,-0.048044,0.021011,-0.020641
2.3735,0.085502,0.065118,-0.065118,0.03736,-0.037827

